Happy,Angry,Surprise,Sad,Fear,no_words,no_misspelled,readability,unique_words,class
0.08,0.04,0.16,0.18,0.53,1231,0.021933387489845652,48.94,640,0
0.2,0.11,0.27,0.2,0.22,1420,0.030985915492957747,51.41,830,0
0.1,0.03,0.19,0.26,0.42,1128,0.06382978723404255,54.76,577,0
0.09,0.04,0.09,0.11,0.67,1986,0.017623363544813697,27.35,917,0
0.0,0.0,0.25,0.0,0.75,414,0.07729468599033816,2.38,238,0
0.02,0.0,0.39,0.09,0.5,594,0.04208754208754209,42.82,275,0
0.16,0.0,0.06,0.06,0.72,387,0.059431524547803614,35.41,197,0
0.0,0.0,0.33,0.33,0.33,49,0.3673469387755102,-37.49,39,0
0.0,0.0,0.25,0.25,0.5,70,0.3,-40.87,57,0
0.09,0.03,0.06,0.09,0.72,1261,0.035685963521015066,36.15,585,0
0.04,0.03,0.54,0.19,0.2,1396,0.02005730659025788,44.14,614,0
0.25,0.04,0.15,0.18,0.39,734,0.035422343324250684,46.81,380,0
0.1,0.0,0.1,0.13,0.68,281,0.07473309608540925,47.83,143,0
1.0,0.0,0.0,0.0,0.0,13,1.0,42.38,8,0
0.0,0.05,0.3,0.25,0.4,279,0.0967741935483871,-12.25,197,0
0.07,0.04,0.22,0.27,0.4,828,0.028985507246376812,43.83,425,0
0.0,0.09,0.36,0.0,0.55,90,0.6333333333333333,46.78,62,0
0.11,0.0,0.13,0.14,0.62,1416,0.11440677966101695,52.94,659,0
0.09,0.01,0.16,0.29,0.45,2910,0.009621993127147767,56.18,1195,0
0.31,0.02,0.13,0.13,0.4,447,0.058165548098434,13.04,325,0
0.0,0.0,0.25,0.25,0.5,53,0.37735849056603776,-41.55,42,0
0.06,0.06,0.08,0.07,0.73,1274,0.030612244897959183,25.49,604,0
0.1,0.07,0.14,0.14,0.56,1638,0.016483516483516484,31.51,782,0
0.0,0.12,0.12,0.5,0.25,54,0.4074074074074074,72.12,42,0
0.2,0.07,0.11,0.28,0.33,4193,0.009539709038874314,22.38,2190,0
0.1,0.06,0.03,0.11,0.7,617,0.04213938411669368,24.44,357,0
0.2,0.06,0.18,0.15,0.41,2231,0.014791573285522188,-26.75,965,0
0.1,0.0,0.1,0.1,0.7,257,0.07782101167315175,34.19,117,0
0.08,0.0,0.2,0.22,0.5,681,0.048458149779735685,32.73,445,0
0.2,0.05,0.25,0.07,0.44,1058,0.023629489603024575,64.34,524,0
0.12,0.05,0.23,0.19,0.41,2741,0.011309740970448741,30.3,1398,0
0.08,0.01,0.18,0.13,0.61,1190,0.03361344537815126,-0.03,514,0
0.32,0.0,0.18,0.09,0.41,218,0.10550458715596331,16.89,166,0
0.12,0.03,0.17,0.33,0.35,833,0.030012004801920768,31.92,431,0
0.11,0.06,0.17,0.04,0.62,1121,0.025869759143621766,31.51,503,0
0.07,0.05,0.18,0.2,0.5,3212,0.016811955168119553,32.77,1371,0
0.05,0.02,0.31,0.09,0.53,392,0.058673469387755105,47.12,220,0
0.0,0.0,0.16,0.0,0.84,160,0.1875,12.06,75,0
0.12,0.0,0.09,0.15,0.64,376,0.061170212765957445,36.97,220,0
0.14,0.05,0.18,0.32,0.32,2019,0.013868251609707775,31.45,1155,0
0.11,0.08,0.16,0.13,0.53,702,0.23646723646723647,71.14,453,0
0.06,0.02,0.15,0.3,0.47,1286,0.02021772939346812,21.6,752,0
0.07,0.05,0.37,0.16,0.34,1226,0.022838499184339316,42.48,685,0
0.11,0.04,0.17,0.16,0.51,5815,0.004987102321582115,57.27,1581,0
0.23,0.07,0.12,0.09,0.49,493,0.0486815415821501,62.98,229,0
0.15,0.06,0.1,0.14,0.54,1226,0.02202283849918434,23.46,516,0
0.24,0.11,0.22,0.09,0.35,387,0.3695090439276486,45.56,237,0
0.1,0.05,0.16,0.16,0.53,439,0.05922551252847381,51.01,241,0
0.11,0.11,0.33,0.22,0.22,578,0.05709342560553633,39.77,450,0
0.0,0.0,0.17,0.0,0.83,261,0.12260536398467432,26.61,192,0
0.1,0.01,0.14,0.11,0.63,1295,0.023166023166023165,35.71,667,0
0.11,0.04,0.27,0.17,0.4,1837,0.015786608600979857,-0.16,1010,0
0.16,0.08,0.32,0.08,0.36,461,0.05422993492407809,-0.27,228,0
0.17,0.04,0.0,0.0,0.78,305,0.07868852459016394,-18.31,196,0
0.09,0.0,0.18,0.07,0.67,369,0.11382113821138211,57.67,203,0
0.13,0.07,0.14,0.24,0.42,970,0.02577319587628866,12.84,508,0
0.13,0.02,0.27,0.2,0.37,727,0.03851444291609354,28.07,458,0
0.33,0.0,0.0,0.33,0.33,365,0.08493150684931507,26.2,215,0
0.09,0.03,0.17,0.13,0.59,1318,0.030349013657056147,67.04,595,0
0.04,0.04,0.04,0.29,0.58,596,0.04194630872483222,49.96,300,0
0.27,0.05,0.15,0.16,0.38,616,0.04707792207792208,56.35,325,0
0.0,0.0,0.25,0.25,0.5,53,0.33962264150943394,-41.55,42,0
0.1,0.0,0.12,0.33,0.45,1409,0.0234208658623137,-24.02,654,0
0.2,0.04,0.15,0.23,0.38,1222,0.020458265139116204,26.64,688,0
0.06,0.06,0.31,0.23,0.35,962,0.031185031185031187,40.35,567,0
0.09,0.04,0.25,0.19,0.42,2297,0.012189812799303439,-22.22,421,0
0.1,0.02,0.2,0.41,0.26,783,0.037037037037037035,27.83,409,0
0.0,0.0,0.05,0.15,0.8,2788,0.01291248206599713,39.94,1403,0
0.04,0.07,0.15,0.23,0.51,893,0.03135498320268757,-1.11,548,0
0.15,0.01,0.08,0.12,0.64,1263,0.026128266033254157,46.06,466,0
0.0,0.0,0.25,0.25,0.5,53,0.4716981132075472,-41.55,42,0
0.22,0.08,0.14,0.07,0.48,496,0.04838709677419355,47.38,281,0
0.05,0.03,0.25,0.15,0.51,2562,0.02107728337236534,31.62,1110,0
0.05,0.04,0.18,0.37,0.36,1111,0.025202520252025202,37.47,534,0
0,0,0,0,0,0,0,206.84,1,0
0.06,0.0,0.17,0.0,0.78,276,0.09782608695652174,44.68,185,0
0.11,0.04,0.19,0.13,0.53,1546,0.016170763260025874,38.15,864,0
0.08,0.08,0.16,0.16,0.52,819,0.07936507936507936,63.43,434,0
0.12,0.03,0.26,0.18,0.41,210,0.09523809523809523,21.6,96,0
0.1,0.06,0.11,0.1,0.62,663,0.04072398190045249,24.48,419,0
0.08,0.01,0.06,0.37,0.48,779,0.03594351732991014,39.97,442,0
0.13,0.04,0.23,0.12,0.47,787,0.03430749682337993,15.24,405,0
0.09,0.05,0.17,0.14,0.55,4318,0.006716072255673923,63.49,1612,0
0.09,0.04,0.12,0.18,0.57,1098,0.02459016393442623,62.38,502,0
0.09,0.05,0.13,0.11,0.62,5271,0.011193321950294061,43.77,2505,0
0.11,0.0,0.14,0.25,0.51,440,0.056818181818181816,41.16,270,0
0.22,0.0,0.12,0.09,0.56,360,0.17222222222222222,0.62,234,0
0.0,0.0,0.0,1.0,0.0,2035,0.029975429975429974,99.26,811,0
0.13,0.05,0.31,0.19,0.32,1779,0.017425519955030916,-269.1,955,0
0.04,0.04,0.17,0.38,0.38,396,0.06818181818181818,25.9,245,0
0.05,0.04,0.1,0.14,0.68,1660,0.016265060240963854,-6.43,814,0
0.1,0.16,0.2,0.17,0.37,652,0.04141104294478527,55.88,390,0
0.06,0.14,0.09,0.14,0.57,2804,0.014265335235378032,-33.46,1280,0
0.0,0.0,0.25,0.25,0.5,53,0.33962264150943394,-41.55,42,0
0.15,0.03,0.11,0.27,0.44,1397,0.04294917680744453,2.31,707,0
0.06,0.03,0.17,0.09,0.66,1053,0.03323836657169991,45.09,626,0
0.34,0.01,0.12,0.05,0.49,1085,0.02119815668202765,21.63,430,0
0.0,0.01,0.05,0.35,0.59,675,0.04148148148148148,-70.97,244,0
0.0,0.0,0.0,1.0,0.0,7,1.8571428571428572,-54.08,7,0
0.06,0.02,0.09,0.04,0.8,1479,0.02434077079107505,-83.77,616,0
0.14,0.03,0.06,0.17,0.61,668,0.0688622754491018,43.12,358,0
0.05,0.0,0.26,0.21,0.48,558,0.05017921146953405,42.14,331,0
0.18,0.06,0.48,0.06,0.21,185,0.11891891891891893,-8.08,111,0
0.19,0.02,0.15,0.24,0.4,1147,0.024411508282476024,3.47,713,0
0.14,0.03,0.18,0.24,0.41,971,0.026776519052523172,47.35,548,0
0.01,0.01,0.27,0.32,0.38,2356,0.009762308998302207,69.58,447,0
0.0,0.54,0.23,0.12,0.12,1209,0.8751033912324235,20.8,360,0
0.06,0.01,0.06,0.18,0.68,894,0.06711409395973154,50.46,393,0
0.07,0.02,0.02,0.19,0.69,315,0.08571428571428572,11.48,188,0
0.0,0.0,0.14,0.07,0.79,687,0.9985443959243085,77.37,316,0
0.11,0.03,0.06,0.18,0.62,1953,0.013824884792626729,-6.62,417,0
0,0,0,0,0,907,1.589856670341786,7.95,176,0
0.4,0.0,0.0,0.13,0.47,278,0.08633093525179857,50.94,190,0
0.0,0.0,0.23,0.08,0.69,137,0.16058394160583941,21.06,128,0
0.06,0.03,0.19,0.25,0.47,832,0.03245192307692308,34.6,399,0
0.06,0.04,0.15,0.17,0.58,682,0.03519061583577713,41.26,269,0
0.31,0.02,0.13,0.13,0.4,1162,0.050774526678141134,65.52,572,0
0.11,0.0,0.32,0.27,0.3,476,0.0546218487394958,-7.41,308,0
0.11,0.06,0.1,0.11,0.62,1029,0.12342079689018465,23.16,507,0
0.11,0.04,0.25,0.24,0.37,1353,0.09608277900960828,29.69,762,0
0.25,0.03,0.07,0.18,0.47,1096,0.041970802919708027,6.74,607,0
0.27,0.04,0.18,0.2,0.31,1408,0.02556818181818182,50.33,825,0
0.1,0.05,0.22,0.16,0.47,1311,0.02135774218154081,43.83,638,0
0.03,0.01,0.1,0.24,0.63,6258,0.004154682007031001,52.29,847,0
0.08,0.02,0.12,0.18,0.59,4025,0.007701863354037267,41.5,1830,0
0.08,0.12,0.2,0.12,0.48,147,0.20408163265306123,70.13,84,0
0.18,0.03,0.16,0.16,0.47,324,0.07716049382716049,19.4,177,0
0.17,0.0,0.17,0.17,0.5,2947,0.2833389888021717,106.2,2296,0
0.0,0.17,0.17,0.0,0.67,1099,0.03275705186533212,-0.65,716,0
0.09,0.05,0.18,0.09,0.59,270,0.08148148148148149,64.1,159,0
0.0,0.15,0.05,0.0,0.8,713,0.0546984572230014,13.51,361,0
0.2,0.02,0.1,0.11,0.57,556,0.044964028776978415,57.57,266,0
0.0,0.13,0.15,0.37,0.35,1571,0.016549968173138127,29.21,752,0
0.08,0.02,0.35,0.2,0.35,900,0.03333333333333333,20.39,440,0
0.03,0.07,0.18,0.12,0.6,2118,0.014636449480642116,21.02,1185,0
0.12,0.01,0.09,0.24,0.53,524,0.04770992366412214,-0.98,307,0
0.07,0.02,0.13,0.17,0.6,2657,0.011667293940534437,24.75,1230,0
0.24,0.11,0.22,0.09,0.35,387,0.3695090439276486,45.56,237,0
0.06,0.03,0.18,0.21,0.51,3699,0.008921330089213302,27.35,1253,0
0.11,0.0,0.15,0.23,0.51,570,0.0456140350877193,48.74,347,0
0.05,0.0,0.36,0.13,0.45,429,0.05827505827505827,37.2,262,0
0.24,0.11,0.22,0.09,0.35,387,0.3695090439276486,45.56,237,0
0.07,0.03,0.1,0.09,0.71,1993,0.017059708981435023,42.61,893,0
0.4,0.01,0.18,0.08,0.33,9311,0.0047255933841692625,44.64,1465,0
0,0,0,0,0,156,2.423076923076923,34.61,18,0
0.07,0.11,0.11,0.23,0.49,909,0.0297029702970297,38.86,598,0
0.13,0.06,0.21,0.15,0.45,660,0.04242424242424243,20.52,381,0
0.06,0.02,0.12,0.17,0.62,2567,0.012465913517724971,45.25,893,0
0.1,0.0,0.2,0.4,0.3,58,0.3620689655172414,61.63,48,0
0.2,0.1,0.08,0.2,0.42,477,0.050314465408805034,29.08,286,0
0.11,0.02,0.1,0.15,0.62,649,0.046224961479198766,51.41,302,0
0.06,0.03,0.09,0.12,0.7,991,0.04641775983854692,42.11,450,0
0.09,0.07,0.15,0.21,0.48,1429,0.01959412176347096,26.17,797,0
0.08,0.12,0.2,0.17,0.43,4055,0.007151664611590629,24.07,1439,0
0.34,0.0,0.05,0.1,0.51,2574,0.01320901320901321,-5.51,1103,0
0.07,0.02,0.2,0.16,0.55,5194,0.007508663842895649,46.98,1722,0
0.19,0.05,0.1,0.12,0.55,396,0.06818181818181818,22.85,261,0
0.05,0.03,0.1,0.17,0.64,1637,0.019547953573610263,-8.42,754,0
0.05,0.02,0.21,0.22,0.49,1431,0.02026554856743536,31.59,697,0
0.18,0.02,0.21,0.21,0.37,1089,0.024793388429752067,43.66,618,0
0.03,0.01,0.11,0.12,0.73,1209,0.022332506203473945,-26.73,559,0
0.0,0.0,0.0,1.0,0.0,7,1.2857142857142858,81.29,4,0
0.02,0.0,0.21,0.12,0.65,507,0.04339250493096647,24.14,297,0
0.08,0.05,0.15,0.13,0.59,1799,0.017787659811006114,22.68,840,0
0.12,0.07,0.23,0.03,0.55,673,0.03863298662704309,-75.42,413,0
0.0,0.0,0.0,0.0,1.0,651,0.9754224270353302,13.83,56,0
0.07,0.17,0.07,0.03,0.66,2650,0.009811320754716982,79.77,719,0
0.07,0.03,0.13,0.08,0.69,486,0.05761316872427984,32.67,271,0
0.13,0.04,0.27,0.14,0.41,1288,0.02251552795031056,-24.83,751,0
0.04,0.03,0.14,0.08,0.71,2229,0.02288021534320323,2.96,803,0
0.13,0.04,0.11,0.2,0.52,1464,0.02117486338797814,8.68,754,0
0.2,0.0,0.2,0.2,0.4,57,0.8070175438596491,-26.63,53,0
0.09,0.05,0.21,0.16,0.49,1360,0.020588235294117647,30.43,769,0
0.04,0.01,0.22,0.15,0.58,728,0.09478021978021978,54.32,361,0
0.13,0.02,0.19,0.25,0.4,1007,0.029791459781529295,74.29,525,0
0.06,0.03,0.1,0.15,0.66,5033,0.007748857540234452,40.08,1851,0
0.17,0.0,0.67,0.0,0.17,539,0.0575139146567718,42.82,421,0
0.0,0.0,0.0,0.0,1.0,301,2.009966777408638,4.12,80,0
0.07,0.05,0.12,0.12,0.64,1393,0.02297200287150036,0.96,603,0
0.0,0.0,0.5,0.0,0.5,209,0.8181818181818182,-136.61,60,0
0.15,0.05,0.14,0.19,0.47,1647,0.018822100789313904,46.4,868,0
0.08,0.02,0.21,0.13,0.56,1487,0.019502353732347006,33.54,781,0
0.13,0.17,0.14,0.14,0.42,1766,0.015288788221970554,42.41,730,0
0.03,0.01,0.39,0.12,0.45,1201,0.027477102414654453,5.06,378,0
0.0,0.0,0.33,0.33,0.33,49,0.3673469387755102,-37.49,39,0
0.06,0.04,0.15,0.19,0.55,250,0.096,-38.46,87,0
0.09,0.06,0.11,0.12,0.61,1474,0.01967435549525102,37.03,761,0
0.12,0.05,0.12,0.18,0.53,957,0.027168234064785787,0.22,496,0
0,0,0,0,0,34,17.11764705882353,25.32,33,0
0.11,0.0,0.06,0.08,0.75,658,0.037993920972644375,40.75,382,0
0.0,0.0,0.0,0.0,1.0,72,0.2638888888888889,35.95,61,0
0.12,0.04,0.23,0.2,0.42,2622,0.011823035850495805,50.4,1401,0
0,0,0,0,0,441,2.1383219954648527,11.6,79,0
0.15,0.02,0.15,0.1,0.58,442,0.07239819004524888,32.19,296,0
0.12,0.07,0.14,0.11,0.57,597,0.04187604690117253,68.16,354,0
0.0,0.5,0.0,0.0,0.5,37,0.5405405405405406,27.32,33,0
0.07,0.04,0.14,0.13,0.61,1571,0.016549968173138127,15.04,723,0
0.2,0.02,0.33,0.08,0.37,1373,0.02112163146394756,29.93,602,0
0.08,0.0,0.08,0.25,0.58,120,0.15833333333333333,68.97,74,0
0.14,0.06,0.19,0.22,0.4,1134,0.029982363315696647,30.77,584,0
0.18,0.0,0.18,0.15,0.49,779,0.10654685494223363,37.03,355,0
0.24,0.06,0.18,0.18,0.35,226,0.11504424778761062,-4.57,174,0
0.14,0.03,0.03,0.05,0.76,1126,0.028419182948490232,53.92,471,0
0.0,0.09,0.09,0.36,0.45,92,0.2717391304347826,37.57,70,0
0.07,0.04,0.22,0.0,0.67,172,0.12790697674418605,-30.29,146,0
0.05,0.05,0.17,0.13,0.6,1592,0.018844221105527637,39.4,801,0
0.11,0.07,0.25,0.18,0.39,5362,0.006527415143603133,34.33,2140,0
0.2,0.0,0.09,0.08,0.63,603,0.04975124378109453,25.8,330,0
0.09,0.0,0.14,0.1,0.66,695,0.03884892086330935,24.17,385,0
0.08,0.04,0.13,0.12,0.63,27030,0.0020347761746207916,-55.52,9840,0
0.0,0.0,0.25,0.25,0.5,53,0.33962264150943394,-41.55,42,0
0.2,0.02,0.2,0.11,0.48,477,0.09853249475890985,15.78,318,0
0.28,0.02,0.14,0.11,0.44,2542,0.01927616050354052,55.95,1046,0
0.06,0.03,0.2,0.22,0.48,1338,0.02242152466367713,42.14,790,0
0.0,0.0,0.07,0.29,0.64,72,0.2916666666666667,76.52,55,0
0.06,0.09,0.11,0.11,0.63,3989,0.010278265229380797,-10.99,1450,0
0.3,0.0,0.0,0.0,0.7,125,0.272,-12.05,102,0
0.03,0.07,0.27,0.14,0.5,709,0.039492242595204514,33.01,374,0
0.12,0.03,0.2,0.19,0.46,2143,0.014465702286514233,25.53,1271,0
0.08,0.04,0.18,0.1,0.6,467,0.057815845824411134,57.61,279,0
0.33,0.0,0.33,0.0,0.33,89,0.7528089887640449,-53.03,83,0
0.16,0.02,0.11,0.26,0.45,1039,0.026948989412897015,15.2,549,0
0.14,0.03,0.13,0.14,0.55,917,0.028353326063249727,44.54,465,0
0.0,0.12,0.12,0.5,0.25,54,0.3888888888888889,72.12,42,0
0.07,0.01,0.21,0.18,0.53,2882,0.012144344205412909,44.03,1417,0
0.12,0.03,0.19,0.18,0.48,1230,0.022764227642276424,-7.37,652,0
0.04,0.02,0.22,0.12,0.6,1586,0.01828499369482976,27.35,898,0
0.14,0.13,0.12,0.16,0.45,5107,0.00802819659291169,37.07,2054,0
0.0,0.0,0.0,0.5,0.5,28,0.9285714285714286,53.58,21,0
0.29,0.0,0.0,0.29,0.43,1066,0.024390243902439025,8.27,596,0
0.09,0.02,0.14,0.1,0.65,1204,0.023255813953488372,41.09,666,0
0.17,0.01,0.15,0.12,0.56,1394,0.020086083213773313,43.12,619,0
0.03,0.18,0.09,0.13,0.58,9197,0.008589757529629228,-215.78,1758,0
0.12,0.05,0.19,0.22,0.42,3509,0.007979481333713309,59.06,466,0
0.08,0.06,0.17,0.19,0.5,2385,0.02180293501048218,33.44,1295,0
0.19,0.06,0.09,0.14,0.52,2167,0.01799723119520074,22.04,926,0
0.0,0.12,0.12,0.5,0.25,54,0.4074074074074074,63.66,42,0
0.0,0.0,0.33,0.33,0.33,49,0.3673469387755102,-37.49,39,0
0.03,0.06,0.17,0.17,0.57,274,0.08759124087591241,4.58,213,0
0.08,0.03,0.28,0.2,0.4,1768,0.016968325791855202,14.23,1031,0
0.04,0.02,0.19,0.11,0.64,550,0.05454545454545454,38.92,340,0
0.22,0.08,0.14,0.07,0.48,496,0.04838709677419355,47.38,281,0
0.04,0.0,0.05,0.08,0.84,1314,0.0213089802130898,32.83,594,0
0.07,0.0,0.37,0.06,0.51,665,0.03759398496240601,-100.41,281,0
0,0,0,0,0,467,0.057815845824411134,23.73,297,0
0.12,0.04,0.17,0.15,0.52,681,0.0381791483113069,32.16,459,0
0.5,0.0,0.2,0.0,0.3,134,0.20149253731343283,-55.63,100,0
0.16,0.2,0.08,0.08,0.48,335,0.07164179104477612,59.5,190,0
0.06,0.03,0.11,0.09,0.71,543,0.05156537753222836,35.04,320,0
0.12,0.0,0.12,0.12,0.62,113,0.19469026548672566,66.23,73,0
0.05,0.01,0.13,0.08,0.73,1759,0.03240477544059125,45.09,520,0
0.2,0.03,0.31,0.13,0.33,616,0.037337662337662336,65.35,281,0
0.08,0.03,0.17,0.26,0.46,1092,0.02564102564102564,28.98,561,0
0.02,0.03,0.24,0.09,0.62,832,0.036057692307692304,54.63,409,0
0.12,0.03,0.09,0.29,0.47,867,0.0461361014994233,31.07,524,0
0.08,0.03,0.19,0.18,0.52,803,0.034869240348692404,37.34,461,0
0.09,0.02,0.12,0.14,0.62,610,0.04426229508196721,-4.06,378,0
0.18,0.03,0.18,0.13,0.49,1169,0.02566295979469632,55.95,602,0
0.16,0.03,0.31,0.13,0.37,2246,0.01068566340160285,25.23,967,0
0.0,0.0,0.0,0.0,1.0,201,0.14427860696517414,46.24,91,0
0.21,0.03,0.09,0.09,0.59,272,0.23529411764705882,8.06,212,0
0.07,0.04,0.21,0.12,0.56,1038,0.02601156069364162,26.24,487,0
0.27,0.04,0.09,0.16,0.43,1490,0.052348993288590606,39.84,863,0
0.0,0.0,0.17,0.17,0.67,255,0.09411764705882353,-23.78,176,0
0.44,0.11,0.0,0.11,0.33,70,1.1857142857142857,17.71,60,0
0.12,0.07,0.21,0.05,0.55,436,0.0963302752293578,39.57,306,0
0.07,0.02,0.28,0.15,0.48,1203,0.021612635078969242,45.09,563,0
0.06,0.04,0.02,0.08,0.8,296,0.08108108108108109,20.79,147,0
0.07,0.01,0.09,0.12,0.7,5317,0.010720331013729547,-0.3,1628,0
0.03,0.02,0.32,0.29,0.34,643,0.041990668740279936,13.31,372,0
0.05,0.06,0.27,0.23,0.39,1098,0.026411657559198543,65.25,660,0
0.15,0.03,0.15,0.18,0.5,1261,0.126883425852498,33.99,547,0
0.05,0.08,0.15,0.19,0.53,746,0.040214477211796246,46.81,466,0
0.05,0.02,0.08,0.21,0.63,1633,0.017758726270667484,41.7,858,0
0.06,0.05,0.13,0.15,0.61,3721,0.007524858908895459,62.27,1563,0
0.1,0.03,0.23,0.2,0.44,1660,0.016265060240963854,37.0,995,0
0.0,0.14,0.14,0.57,0.14,74,0.6621621621621622,80.28,59,0
0.0,0.0,0.25,0.25,0.5,53,0.39622641509433965,-41.55,42,0
0.13,0.03,0.17,0.27,0.4,2769,0.012278801011195377,48.2,1268,0
0.2,0.03,0.14,0.23,0.4,326,0.0736196319018405,42.82,194,0
0.03,0.1,0.17,0.14,0.55,172,0.12790697674418605,55.74,103,0
0.18,0.03,0.1,0.12,0.57,1088,0.035845588235294115,35.37,537,0
0.0,0.0,0.0,0.5,0.5,369,1.6368563685636857,-259.75,4,0
0,0,0,0,0,3,2.3333333333333335,119.19,3,0
0.08,0.04,0.1,0.22,0.57,764,0.030104712041884817,32.57,299,0
0.14,0.05,0.18,0.25,0.39,374,0.06684491978609626,41.66,287,0
0.12,0.04,0.15,0.2,0.5,1592,0.0207286432160804,48.2,876,0
0.06,0.03,0.11,0.09,0.71,543,0.05156537753222836,35.04,320,0
0.1,0.01,0.11,0.15,0.63,1290,0.024031007751937984,38.92,684,0
0.1,0.03,0.25,0.17,0.45,664,0.04819277108433735,49.86,335,0
0.0,0.0,0.33,0.33,0.33,49,0.3673469387755102,-37.49,39,0
0.04,0.02,0.1,0.36,0.48,1742,0.014351320321469576,-99.51,792,0
0.07,0.01,0.12,0.36,0.45,1532,0.020234986945169713,-111.74,597,0
0,0,0,0,0,8,2.25,102.78,6,0
0.08,0.01,0.1,0.11,0.69,1363,0.02641232575201761,43.63,789,0
0.1,0.07,0.21,0.21,0.4,497,0.052313883299798795,-16.31,382,0
0.0,0.0,0.0,0.5,0.5,2221,0.028815848716794237,104.68,1322,0
0.07,0.02,0.08,0.28,0.56,453,0.052980132450331126,64.1,248,0
